update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.06,1
1,0.5,10,0.06,1
2,0.5,10,0.06,1
3,0.5,10,0.06,1
4,0.5,10,0.06,1
5,0.5,10,0.06,1
6,0.5,10,0.06,1
7,0.5,10,0.06,1
8,0.5,10,0.06,1
9,0.5,10,0.06,1
10,0.5,10,0.06,1
11,0.5,10,0.06,1
12,0.5,10,0.06,1
13,0.5,10,0.06,1
14,0.5,10,0.06,1
15,0.5,10,0.06,1
16,0.5,10,0.06,1
17,0.5,10,0.06,1
18,0.5,10,0.06,1
19,0.5,10,0.06,1
20,0.651045,9.9658,0.0300215,2
21,0.651045,9.9658,0.0300215,2
22,0.651045,9.9658,0.0300215,2
23,0.651045,9.9658,0.0300215,2
24,0.651045,9.9658,0.0300215,2
25,0.651045,9.9658,0.0300215,2
26,0.651045,9.9658,0.0300215,2
27,0.651045,9.9658,0.0300215,2
28,0.651045,9.9658,0.0300215,2
29,0.651045,9.9658,0.0300215,2
30,0.651045,9.9658,0.0300215,2
31,0.651045,9.9658,0.0300215,2
32,0.651045,9.9658,0.0300215,2
33,0.651045,9.9658,0.0300215,2
34,0.651045,9.9658,0.0300215,2
35,0.651045,9.9658,0.0300215,2
36,0.651045,9.9658,0.0300215,2
37,0.651045,9.9658,0.0300215,2
38,0.651045,9.9658,0.0300215,2
39,0.651045,9.9658,0.0300215,2
40,0.502734,9.90608,0.0150107,4
41,0.502734,9.90608,0.0150107,4
42,0.502734,9.90608,0.0150107,4
43,0.502734,9.90608,0.0150107,4
44,0.502734,9.90608,0.0150107,4
45,0.502734,9.90608,0.0150107,4
46,0.502734,9.90608,0.0150107,4
47,0.502734,9.90608,0.0150107,4
48,0.502734,9.90608,0.0150107,4
49,0.502734,9.90608,0.0150107,4
50,0.502734,9.90608,0.0150107,4
51,0.502734,9.90608,0.0150107,4
52,0.502734,9.90608,0.0150107,4
53,0.502734,9.90608,0.0150107,4
54,0.502734,9.90608,0.0150107,4
55,0.502734,9.90608,0.0150107,4
56,0.502734,9.90608,0.0150107,4
57,0.502734,9.90608,0.0150107,4
58,0.502734,9.90608,0.0150107,4
59,0.472708,9.94735,0.0120086,5
60,0.509222,9.86132,0.0462045,7
61,0.455211,9.81808,0.0404289,8
62,0.455211,9.81808,0.0404289,8
63,0.455211,9.81808,0.0404289,8
64,0.455211,9.81808,0.0404289,8
65,0.455211,9.81808,0.0404289,8
66,0.455211,9.81808,0.0404289,8
67,0.455211,9.81808,0.0404289,8
68,0.455211,9.81808,0.0404289,8
69,0.455211,9.81808,0.0404289,8
70,0.455211,9.81808,0.0404289,8
71,0.455211,9.81808,0.0404289,8
72,0.455211,9.81808,0.0404289,8
73,0.455211,9.81808,0.0404289,8
74,0.455211,9.81808,0.0404289,8
75,0.455211,9.81808,0.0404289,8
76,0.455211,9.81808,0.0404289,8
77,0.455211,9.81808,0.0404289,8
78,0.455211,9.81808,0.0404289,8
79,0.572427,9.78875,0.0613363,10
80,0.63048,9.65374,0.0665823,15
81,0.63514,9.61934,0.0627031,16
82,0.63514,9.61934,0.0627031,16
83,0.63514,9.61934,0.0627031,16
84,0.63514,9.61934,0.0627031,16
85,0.63514,9.61934,0.0627031,16
86,0.63514,9.61934,0.0627031,16
87,0.63514,9.61934,0.0627031,16
88,0.63514,9.61934,0.0627031,16
89,0.63514,9.61934,0.0627031,16
90,0.63514,9.61934,0.0627031,16
91,0.63514,9.61934,0.0627031,16
92,0.63514,9.61934,0.0627031,16
93,0.63514,9.61934,0.0627031,16
94,0.63514,9.61934,0.0627031,16
95,0.63514,9.61934,0.0627031,16
96,0.63514,9.61934,0.0627031,16
97,0.639517,9.58848,0.0835517,17
98,0.644237,9.47053,0.0787151,19
99,0.604222,9.36136,0.0792674,24
100,0.565914,9.33146,0.0793138,30
101,0.537068,9.33937,0.077243,32
102,0.537068,9.33937,0.077243,32
103,0.537068,9.33937,0.077243,32
104,0.537068,9.33937,0.077243,32
105,0.537068,9.33937,0.077243,32
106,0.537068,9.33937,0.077243,32
107,0.537068,9.33937,0.077243,32
108,0.537068,9.33937,0.077243,32
109,0.537068,9.33937,0.077243,32
