update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0,1
1,0.5,10,0,1
2,0.5,10,0,1
3,0.5,10,0,1
4,0.5,10,0,1
5,0.5,10,0,1
6,0.5,10,0,1
7,0.5,10,0,1
8,0.5,10,0,1
9,0.5,10,0,1
10,0.5,10,0,1
11,0.5,10,0,1
12,0.5,10,0,1
13,0.5,10,0,1
14,0.5,10,0,1
15,0.5,10,0,1
16,0.5,10,0,1
17,0.5,10,0,1
18,0.5,10,0,1
19,0.5,10,0,1
20,0.500648,14.2542,0,2
21,0.500648,14.2542,0,2
22,0.500648,14.2542,0,2
23,0.500648,14.2542,0,2
24,0.500648,14.2542,0,2
25,0.500648,14.2542,0,2
26,0.500648,14.2542,0,2
27,0.500648,14.2542,0,2
28,0.500648,14.2542,0,2
29,0.500648,14.2542,0,2
30,0.500648,14.2542,0,2
31,0.500648,14.2542,0,2
32,0.500648,14.2542,0,2
33,0.500648,14.2542,0,2
34,0.500648,14.2542,0,2
35,0.500648,14.2542,0,2
36,0.500648,14.2542,0,2
37,0.500648,14.2542,0,2
38,0.500648,14.2542,0,2
39,0.500648,14.2542,0,2
40,0.500648,14.2542,0,2
41,0.500648,14.2542,0,2
42,0.500648,14.2542,0,2
43,0.500648,14.2542,0,2
44,0.500648,14.2542,0,2
45,0.500648,14.2542,0,2
46,0.500648,14.2542,0,2
47,0.500648,14.2542,0,2
48,0.575454,15.3693,0.0122712,3
49,0.503159,17.2006,0.00920343,4
50,0.503159,17.2006,0.00920343,4
51,0.503159,17.2006,0.00920343,4
52,0.503159,17.2006,0.00920343,4
53,0.503159,17.2006,0.00920343,4
54,0.503159,17.2006,0.00920343,4
55,0.503159,17.2006,0.00920343,4
56,0.503159,17.2006,0.00920343,4
57,0.503159,17.2006,0.00920343,4
58,0.503159,17.2006,0.00920343,4
59,0.503159,17.2006,0.00920343,4
60,0.503159,17.2006,0.00920343,4
61,0.503159,17.2006,0.00920343,4
62,0.503159,17.2006,0.00920343,4
63,0.503159,17.2006,0.00920343,4
64,0.503159,17.2006,0.00920343,4
65,0.503159,17.2006,0.00920343,4
66,0.503159,17.2006,0.00920343,4
67,0.503159,17.2006,0.00920343,4
68,0.503159,17.2006,0.00920343,4
69,0.503159,17.2006,0.00920343,4
70,0.503159,17.2006,0.00920343,4
71,0.503159,17.2006,0.00920343,4
72,0.503159,17.2006,0.00920343,4
73,0.503159,17.2006,0.00920343,4
74,0.503159,17.2006,0.00920343,4
75,0.503159,17.2006,0.00920343,4
76,0.503159,17.2006,0.00920343,4
77,0.436178,18.0661,0.00736274,5
78,0.436178,18.0661,0.00736274,5
79,0.436178,18.0661,0.00736274,5
80,0.436178,18.0661,0.00736274,5
81,0.436178,18.0661,0.00736274,5
82,0.436178,18.0661,0.00736274,5
83,0.376418,19.9212,0.00982168,7
84,0.376418,19.9212,0.00982168,7
