update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.13,1
1,0.5,10,0.13,1
2,0.5,10,0.13,1
3,0.5,10,0.13,1
4,0.5,10,0.13,1
5,0.5,10,0.13,1
6,0.5,10,0.13,1
7,0.5,10,0.13,1
8,0.5,10,0.13,1
9,0.5,10,0.13,1
10,0.5,10,0.13,1
11,0.5,10,0.13,1
12,0.5,10,0.13,1
13,0.5,10,0.13,1
14,0.5,10,0.13,1
15,0.5,10,0.13,1
16,0.5,10,0.13,1
17,0.5,10,0.13,1
18,0.5,10,0.13,1
19,0.5,10,0.13,1
20,0.620158,9.85594,0.180663,2
21,0.620158,9.85594,0.180663,2
22,0.620158,9.85594,0.180663,2
23,0.620158,9.85594,0.180663,2
24,0.620158,9.85594,0.180663,2
25,0.620158,9.85594,0.180663,2
26,0.620158,9.85594,0.180663,2
27,0.620158,9.85594,0.180663,2
28,0.620158,9.85594,0.180663,2
29,0.620158,9.85594,0.180663,2
30,0.620158,9.85594,0.180663,2
31,0.620158,9.85594,0.180663,2
32,0.620158,9.85594,0.180663,2
33,0.620158,9.85594,0.180663,2
34,0.620158,9.85594,0.180663,2
35,0.620158,9.85594,0.180663,2
36,0.620158,9.85594,0.180663,2
37,0.620158,9.85594,0.180663,2
38,0.620158,9.85594,0.180663,2
39,0.311755,9.90396,0.196112,3
40,0.331347,9.83776,0.21649,4
41,0.331347,9.83776,0.21649,4
42,0.331347,9.83776,0.21649,4
43,0.331347,9.83776,0.21649,4
44,0.331347,9.83776,0.21649,4
45,0.331347,9.83776,0.21649,4
46,0.331347,9.83776,0.21649,4
47,0.331347,9.83776,0.21649,4
48,0.331347,9.83776,0.21649,4
49,0.331347,9.83776,0.21649,4
50,0.331347,9.83776,0.21649,4
51,0.331347,9.83776,0.21649,4
52,0.331347,9.83776,0.21649,4
53,0.331347,9.83776,0.21649,4
54,0.331347,9.83776,0.21649,4
55,0.331347,9.83776,0.21649,4
56,0.331347,9.83776,0.21649,4
57,0.331347,9.83776,0.21649,4
58,0.364597,9.88161,0.222092,5
59,0.445065,9.87428,0.206684,7
60,0.525985,9.83691,0.203412,8
61,0.525985,9.83691,0.203412,8
62,0.525985,9.83691,0.203412,8
63,0.525985,9.83691,0.203412,8
64,0.525985,9.83691,0.203412,8
65,0.525985,9.83691,0.203412,8
66,0.525985,9.83691,0.203412,8
67,0.525985,9.83691,0.203412,8
68,0.525985,9.83691,0.203412,8
69,0.525985,9.83691,0.203412,8
70,0.525985,9.83691,0.203412,8
71,0.525985,9.83691,0.203412,8
72,0.525985,9.83691,0.203412,8
73,0.525985,9.83691,0.203412,8
74,0.525985,9.83691,0.203412,8
75,0.525985,9.83691,0.203412,8
76,0.525985,9.83691,0.203412,8
77,0.525985,9.83691,0.203412,8
78,0.47035,9.87086,0.205302,12
79,0.390236,9.84772,0.206653,15
80,0.438745,9.8307,0.203655,16
81,0.438745,9.8307,0.203655,16
82,0.438745,9.8307,0.203655,16
83,0.438745,9.8307,0.203655,16
84,0.438745,9.8307,0.203655,16
85,0.438745,9.8307,0.203655,16
86,0.438745,9.8307,0.203655,16
87,0.438745,9.8307,0.203655,16
88,0.438745,9.8307,0.203655,16
89,0.438745,9.8307,0.203655,16
90,0.438745,9.8307,0.203655,16
91,0.438745,9.8307,0.203655,16
92,0.438745,9.8307,0.203655,16
93,0.438745,9.8307,0.203655,16
94,0.438745,9.8307,0.203655,16
95,0.438745,9.8307,0.203655,16
96,0.438745,9.8307,0.203655,16
97,0.440043,9.79067,0.203904,18
98,0.498151,9.80278,0.179282,21
99,0.456722,9.78785,0.191756,29
100,0.474831,9.78077,0.186204,30
101,0.474831,9.78077,0.186204,30
102,0.474831,9.78077,0.186204,30
103,0.474831,9.78077,0.186204,30
104,0.474831,9.78077,0.186204,30
105,0.474831,9.78077,0.186204,30
106,0.474831,9.78077,0.186204,30
107,0.474831,9.78077,0.186204,30
108,0.474831,9.78077,0.186204,30
109,0.474831,9.78077,0.186204,30
110,0.474831,9.78077,0.186204,30
111,0.474831,9.78077,0.186204,30
112,0.474831,9.78077,0.186204,30
113,0.474831,9.78077,0.186204,30
114,0.474831,9.78077,0.186204,30
115,0.474831,9.78077,0.186204,30
116,0.495369,9.76702,0.180836,32
117,0.484971,9.75482,0.184968,35
118,0.542517,9.76917,0.172092,41
119,0.548427,9.73395,0.191352,55
120,0.546334,9.72466,0.192003,58
121,0.546334,9.72466,0.192003,58
122,0.546334,9.72466,0.192003,58
123,0.546334,9.72466,0.192003,58
124,0.546334,9.72466,0.192003,58
125,0.546334,9.72466,0.192003,58
126,0.546334,9.72466,0.192003,58
127,0.546334,9.72466,0.192003,58
128,0.546334,9.72466,0.192003,58
129,0.546334,9.72466,0.192003,58
130,0.546334,9.72466,0.192003,58
131,0.546334,9.72466,0.192003,58
132,0.546334,9.72466,0.192003,58
133,0.546334,9.72466,0.192003,58
134,0.546334,9.72466,0.192003,58
135,0.551015,9.71951,0.190692,60
136,0.549112,9.68749,0.192053,64
137,0.536238,9.70854,0.19547,73
138,0.527868,9.69767,0.193046,87
139,0.539868,9.6879,0.200237,107
140,0.549703,9.69511,0.202108,112
141,0.551837,9.69185,0.201071,111
142,0.551837,9.69185,0.201071,111
143,0.551837,9.69185,0.201071,111
144,0.551837,9.69185,0.201071,111
145,0.551837,9.69185,0.201071,111
