update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.08,1
1,0.5,10,0.08,1
2,0.5,10,0.08,1
3,0.5,10,0.08,1
4,0.5,10,0.08,1
5,0.5,10,0.08,1
6,0.5,10,0.08,1
7,0.5,10,0.08,1
8,0.5,10,0.08,1
9,0.5,10,0.08,1
10,0.5,10,0.08,1
11,0.5,10,0.08,1
12,0.5,10,0.08,1
13,0.5,10,0.08,1
14,0.5,10,0.08,1
15,0.5,10,0.08,1
16,0.5,10,0.08,1
17,0.5,10,0.08,1
18,0.5,10,0.08,1
19,0.5,10,0.08,1
20,0.265567,9.94803,0.0809857,2
21,0.265567,9.94803,0.0809857,2
22,0.265567,9.94803,0.0809857,2
23,0.265567,9.94803,0.0809857,2
24,0.265567,9.94803,0.0809857,2
25,0.265567,9.94803,0.0809857,2
26,0.265567,9.94803,0.0809857,2
27,0.265567,9.94803,0.0809857,2
28,0.265567,9.94803,0.0809857,2
29,0.265567,9.94803,0.0809857,2
30,0.265567,9.94803,0.0809857,2
31,0.265567,9.94803,0.0809857,2
32,0.265567,9.94803,0.0809857,2
33,0.265567,9.94803,0.0809857,2
34,0.265567,9.94803,0.0809857,2
35,0.265567,9.94803,0.0809857,2
36,0.265567,9.94803,0.0809857,2
37,0.265567,9.94803,0.0809857,2
38,0.265567,9.94803,0.0809857,2
39,0.543326,11.814,0.0930311,3
40,0.427518,11.2834,0.0808525,4
41,0.427518,11.2834,0.0808525,4
42,0.427518,11.2834,0.0808525,4
43,0.427518,11.2834,0.0808525,4
44,0.427518,11.2834,0.0808525,4
45,0.427518,11.2834,0.0808525,4
46,0.427518,11.2834,0.0808525,4
47,0.427518,11.2834,0.0808525,4
48,0.427518,11.2834,0.0808525,4
49,0.427518,11.2834,0.0808525,4
50,0.427518,11.2834,0.0808525,4
51,0.427518,11.2834,0.0808525,4
52,0.427518,11.2834,0.0808525,4
53,0.427518,11.2834,0.0808525,4
54,0.427518,11.2834,0.0808525,4
55,0.427518,11.2834,0.0808525,4
56,0.427518,11.2834,0.0808525,4
57,0.427518,11.2834,0.0808525,4
58,0.427518,11.2834,0.0808525,4
59,0.430482,10.455,0.0797626,6
60,0.434682,10.3212,0.0745294,7
61,0.434682,10.3212,0.0745294,7
62,0.434682,10.3212,0.0745294,7
63,0.434682,10.3212,0.0745294,7
64,0.434682,10.3212,0.0745294,7
65,0.434682,10.3212,0.0745294,7
66,0.434682,10.3212,0.0745294,7
67,0.434682,10.3212,0.0745294,7
68,0.434682,10.3212,0.0745294,7
69,0.434682,10.3212,0.0745294,7
70,0.434682,10.3212,0.0745294,7
71,0.359262,9.39977,0.0674306,6
72,0.359262,9.39977,0.0674306,6
73,0.359262,9.39977,0.0674306,6
74,0.359262,9.39977,0.0674306,6
75,0.359262,9.39977,0.0674306,6
76,0.359262,9.39977,0.0674306,6
77,0.359262,9.39977,0.0674306,6
78,0.32843,9.37388,0.0476321,7
79,0.412376,9.96606,0.0416781,8
80,0.482672,9.7714,0.0564569,10
81,0.482672,9.7714,0.0564569,10
82,0.482672,9.7714,0.0564569,10
83,0.482672,9.7714,0.0564569,10
84,0.482672,9.7714,0.0564569,10
85,0.482672,9.7714,0.0564569,10
86,0.482672,9.7714,0.0564569,10
87,0.482672,9.7714,0.0564569,10
88,0.482672,9.7714,0.0564569,10
89,0.482672,9.7714,0.0564569,10
90,0.482672,9.7714,0.0564569,10
91,0.482672,9.7714,0.0564569,10
92,0.482672,9.7714,0.0564569,10
93,0.482672,9.7714,0.0564569,10
94,0.482672,9.7714,0.0564569,10
95,0.482672,9.7714,0.0564569,10
96,0.528659,9.58266,0.0589577,12
97,0.491007,9.35089,0.0505352,14
98,0.499996,9.30692,0.061264,15
99,0.497506,9.23485,0.063044,17
100,0.495899,9.64661,0.0593686,19
101,0.495899,9.64661,0.0593686,19
102,0.495899,9.64661,0.0593686,19
103,0.495899,9.64661,0.0593686,19
104,0.495899,9.64661,0.0593686,19
105,0.495899,9.64661,0.0593686,19
106,0.495899,9.64661,0.0593686,19
107,0.495899,9.64661,0.0593686,19
108,0.510578,9.80657,0.0605411,20
109,0.510578,9.80657,0.0605411,20
110,0.510578,9.80657,0.0605411,20
111,0.510578,9.80657,0.0605411,20
112,0.510578,9.80657,0.0605411,20
113,0.510578,9.80657,0.0605411,20
114,0.416475,9.62316,0.0614271,26
115,0.410742,9.87903,0.0713748,29
116,0.410534,10.0779,0.0745162,30
117,0.42436,10.0368,0.0785234,31
118,0.444781,10.0162,0.0715949,34
119,0.439503,9.97261,0.068709,36
120,0.454651,9.94609,0.066852,37
121,0.454651,9.94609,0.066852,37
122,0.454651,9.94609,0.066852,37
123,0.454651,9.94609,0.066852,37
124,0.454651,9.94609,0.066852,37
125,0.454651,9.94609,0.066852,37
